kind,name,version,org,url
reference,stephenturner-adapters,93b5f91,synthetic,https://raw.githubusercontent.com/stephenturner/adapters/93b5f910de15b8a72051377654fc8e89f4b4fd88/adapters_combined_256_unique.fasta
reference,hg38,hg38,human,ftp://hgdownload.cse.ucsc.edu/goldenPath/hg38/bigZips/hg38.fa.masked.gz
reference,GRCm39,GCA_000001635.9,mouse,https://ftp.ncbi.nlm.nih.gov/genomes/genbank/vertebrate_mammalian/Mus_musculus/latest_assembly_versions/GCA_000001635.9_GRCm39/GCA_000001635.9_GRCm39_genomic.fna.gz
reference,CHM13,v2.0,human,https://s3-us-west-2.amazonaws.com/human-pangenomics/T2T/CHM13/assemblies/analysis_set/chm13v2.0.fa.gz
reference,optitype-hla-dna,07c49bf6fc,human,https://raw.githubusercontent.com/FRED-2/OptiType/07c49bf6fc93e8846e8826df63100a0b069cbe40/data/hla_reference_dna.fasta
reference,optitype-hla-rna,07c49bf6fc,human,https://raw.githubusercontent.com/FRED-2/OptiType/07c49bf6fc93e8846e8826df63100a0b069cbe40/data/hla_reference_rna.fasta
db,uniref90_diamond,v201901b,-,http://huttenhower.sph.harvard.edu/humann_data/uniprot/uniref_annotated/uniref90_annotated_v201901b_full.tar.gz
db,utility_mapping,utility_mapping,-,http://huttenhower.sph.harvard.edu/humann_data/full_mapping_v201901b.tar.gz
db,chocophlan,v201901_v31,-,http://huttenhower.sph.harvard.edu/humann_data/chocophlan/full_chocophlan.v201901_v31.tar.gz
db,kraken,k2_pluspf_20220908,-,https://genome-idx.s3.amazonaws.com/kraken/k2_pluspf_20220908.tar.gz
taxonomy,GTDB,202,-,https://data.gtdb.ecogenomic.org/releases/latest/auxillary_files/gtdbtk_v2_data.tar.gz
db,checkm,2015_01_16,-,https://data.ace.uq.edu.au/public/CheckM_databases/checkm_data_2015_01_16.tar.gz
db,iphop,Sept21,-,https://portal.nersc.gov/cfs/m342/iphop/db/iPHoP_db_Sept21_rw.tar.gz
db,kraken,phanta_v1,-,http://ab_phanta.os.scg.stanford.edu/Phanta_DBs/database_V1.tar.gz
db,kraken,phanta_v1_masked,-,http://ab_phanta.os.scg.stanford.edu/Phanta_DBs/masked_db_v1.tar.gz
db,kraken,k2_pluspf_08gb_20230314,-,https://genome-idx.s3.amazonaws.com/kraken/k2_pluspf_08gb_20230314.tar.gz
